title,link
MS.Windows.Pragmatic.General.Multicast.Remote.Code.Execution,https://www.fortiguard.com/encyclopedia/ips/53953
MS.SharePoint.Server.GenerateProxyAssembly.Code.Injection,https://www.fortiguard.com/encyclopedia/ips/53894
ClassLink.OneClick.Browser.Extension.XSS,https://www.fortiguard.com/encyclopedia/ips/53814
GitLab.Community.and.Enterprise.Edition.Web.IDE.Stored.XSS,https://www.fortiguard.com/encyclopedia/ips/53823
PaperCut.NG.FileUploadAuthentication.Authentication.Bypass,https://www.fortiguard.com/encyclopedia/ips/53815
Foxit.PDF.Reader.and.Editor.exportXFAData.Remote.Code.Execution,https://www.fortiguard.com/encyclopedia/ips/53746
Lumma.Stealer.Botnet,https://www.fortiguard.com/encyclopedia/ips/53625
Apple.Safari.WebKit.loadInSameDocument.Use.After.Free,https://www.fortiguard.com/encyclopedia/ips/53707
D-Link.D-View.JWT.Static.Key.Authentication.Bypass,https://www.fortiguard.com/encyclopedia/ips/53702
Google.Chrome.V8.JIT.Optimisation.TheHole.Type.Confusion,https://www.fortiguard.com/encyclopedia/ips/53706
Ivanti.Endpoint.Manager.Mobile.Path.Traversal,https://www.fortiguard.com/encyclopedia/ips/53703
LG.Simple.Editor.copyStickerContent.Directory.Traversal,https://www.fortiguard.com/encyclopedia/ips/53701
Node.js.ejs.outputFunctionName.Template.Injection,https://www.fortiguard.com/encyclopedia/ips/53705
SonicWall.GMS.and.Analytics.unzipFiles.Directory.Traversal,https://www.fortiguard.com/encyclopedia/ips/53665
RomCom.Botnet,https://www.fortiguard.com/encyclopedia/ips/53607
Apache.Commons.FileUpload.parseRequest.DoS,https://www.fortiguard.com/encyclopedia/ips/53631
Apache.NiFi.API.CVE-2023-34468.Remote.Code.Execution,https://www.fortiguard.com/encyclopedia/ips/53612
Google.Chrome.V8.Origin.Trial.Type.Confusion,https://www.fortiguard.com/encyclopedia/ips/53626
LG.Simple.Editor.CVE-2023-40498.Remote.JSP.Upload,https://www.fortiguard.com/encyclopedia/ips/53614
Sophos.XG.Firewall.filterarray.SQL.Injection,https://www.fortiguard.com/encyclopedia/ips/53627
Advantech.R-SeeNet.device_status.php.Local.File.Inclusion,https://www.fortiguard.com/encyclopedia/ips/53623
Pimcore.GridHelperService.prepareListingForGrid.SQL.Injection,https://www.fortiguard.com/encyclopedia/ips/53620
VMware.Aria.saveFileToDisk.Directory.Traversal,https://www.fortiguard.com/encyclopedia/ips/53621
Adobe.Acrobat.Reader.CVE-2023-26369.Out.of.bounds.Write,https://www.fortiguard.com/encyclopedia/ips/53605
MS.Windows.CLFS.Driver.CVE-2023-38143.Elevation.of.Privilege,https://www.fortiguard.com/encyclopedia/ips/53588
